芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
美雲 かなみ,みくも かなみ,12月20日,大阪府大阪市,私立大阪成蹊女子高等学校,159.5cm,,娘役,,
十季星 琅,ときせ ろう,3月10日,大阪府茨木市,私立履正社高等学校,170cm,,男役,,
昴 三琴,すばる みこと,8月31日,三重県津市,私立高田高等学校,169cm,,男役,,
羽美 風花,うみ ふうか,8月6日,東京都港区,私立聖心女子学院高等科,164cm,,娘役,,
仁 彩斗,じん あやと,9月14日,埼玉県川越市,川越市立東中学校,172cm,,男役,,
雪白 詩乃,ゆきしろ うたの,3月27日,東京都渋谷区,私立青山学院中等部,161cm,,娘役,,
春華 にこ,はるはな にこ,3月17日,兵庫県川西市,私立梅花高等学校,163cm,,娘役,,
蒼渚 れお,あおなぎ れお,4月1日,神奈川県横浜市,私立湘南学院高等学校,170cm,,男役,,
花乃愛 ここ,かのあ ここ,6月14日,大阪府高槻市,大阪府立春日丘高等学校,162cm,,娘役,,
碧 一星,あお いっせい,10月5日,大阪府堺市,私立梅花高等学校,172cm,,男役,,
駿 一愛,しゅん かずあ,8月2日,広島県福山市,私立福山暁の星女子高等学校,170cm,,男役,,
美乃 ゆず希,みの ゆずき,10月5日,東京都新宿区,私立東洋英和女学院高等部,157.5cm,,娘役,,
天翔 心,てんしょう しん,6月7日,大阪府池田市,私立梅花高等学校,175cm,,男役,,
三日月 のばら,みかづき のばら,2月1日,三重県桑名市,私立椙山女学園高等学校,164cm,,娘役,,
叶多 ひろ,かなた ひろ,6月27日,東京都渋谷区,東京都立芦花高等学校,170cm,,男役,,
結美 れいな,ゆうみ れいな,7月13日,大阪府高槻市,私立同志社女子高等学校,159cm,,娘役,,
朝妃 流音,あさひ るね,5月24日,兵庫県姫路市,私立親和女子高等学校,165cm,,娘役,,
夏妃 のどか,なつひ のどか,8月28日,兵庫県宝塚市,私立小林聖心女子学院高等学校,158cm,,娘役,,
蒼真 唯斗,そうま ゆいと,8月23日,東京都国分寺市,私立国立音楽大学附属高等学校,170cm,,男役,,
咲月 蒼,さつき あお,5月26日,千葉県船橋市,私立品川女子学院高等部,168cm,,男役,,
菜乃華 まり,なのはな まり,4月3日,奈良県橿原市,大阪府立夕陽丘高等学校,160cm,,娘役,,
一秀 実央,いっしゅう みおう,6月25日,東京都江戸川区,私立国府台女子学院高等部,170cm,,男役,,
煌世 涼,きらせ りょう,2月17日,東京都墨田区,私立日本大学鶴ヶ丘高等学校,169cm,,男役,,
葉月 瑶,はづき よう,6月5日,東京都目黒区,東京都立駒場高等学校,169cm,,男役,,
月路 あゆ,つきじ あゆ,1月28日,千葉県四街道市,千葉県立八千代高等学校,165cm,,娘役,,
花彩 愛奈,かさい あいな,10月7日,愛媛県宇和島市,愛媛県立宇和島南中等教育学校,161cm,,娘役,,
まりの 六花,まりの りっか,1月1日,京都府京都市,京都府立向陽高等学校,161cm,,娘役,,
鈴花 波音,すずか なみね,12月1日,神奈川県藤沢市,神奈川県立神奈川総合高等学校,163cm,,娘役,,
姫乃 かぐや,ひめの かぐや,1月25日,埼玉県上尾市,私立共立女子中学校,163cm,,娘役,,
千鶴 ましろ,ちづる ましろ,4月29日,東京都大田区,私立田園調布学園高等部,169cm,,男役,,
優奈 美杏,ゆうな みあん,7月21日,東京都杉並区,私立立教女学院高等学校,163cm,,娘役,,
星華 うらら,せいか うらら,10月6日,東京都世田谷区,私立田園調布雙葉中学校,165cm,,娘役,,
深冬 椿,みふゆ つばき,12月25日,北海道稚内市,札幌市立札幌旭丘高等学校,164cm,,娘役,,
花菜 りりあ,かな りりあ,5月24日,東京都荒川区,私立郁文館高等学校,159cm,,娘役,,
星乃 光希,ほしの みつき,8月2日,鹿児島県鹿児島市,私立鹿児島高等学校,163cm,,娘役,,
栞世 光,かんぜ ひかり,6月22日,東京都中野区,私立日本女子大学附属高等学校,175cm,,男役,,
悠木 琉衣,ゆうき るい,1月19日,茨城県つくばみらい市,私立品川学藝高等学校,175.5cm,,男役,,
星純 せいあ,ほしずみ せいあ,10月31日,東京都品川区,私立サレジアン国際学園世田谷高等学校,174cm,,男役,,
城月 めあ理,しろつき めあり,11月11日,宮崎県宮崎市,私立日向学院高等学校,165cm,,娘役,,
千城 華月,ちしろ かづき,12月23日,宮城県仙台市,私立常盤木学園高等学校,172cm,,男役,,
