芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,配属,退団年,備考
秋田 衣子,あきた きぬこ,,,,百人一首,,,-,不明,妹は瀧川末子
大江 文子,おおえ ふみこ,2月20日,大阪府大阪市,,百人一首,,男女両役,-,1921年,
逢坂 關子,おおさか せきこ,8月2日,大阪府,,百人一首,,娘役,-,1929年,
小倉 みゆき,おぐら みゆき,2月20日,鹿児島県,,百人一首,,男役,-,1919年,
雄嶋 艶子,おじま つやこ,,,,百人一首,,,-,不明,女優・二條玉子
雲井 浪子,くもい なみこ,7月23日,兵庫県津名郡洲本町,湊山尋常高等小学校,百人一首,,娘役,-,1919年,姉は八十島楫子、妹は緒島なほ子坪内士行夫人娘は女優・坪内ミキ子義理の叔父が坪内逍遥 
關守 須磨子,せきもり すまこ,,,,百人一首,,,-,不明,
高峰 妙子,たかみね たえこ,5月6日,福井県,,百人一首,アッサン,男役,（花組→雪組→花組→雪組）,1927年,妹は大山郁子男役スター第1号
筑波 峯子,つくば みねこ,4月7日,岡山県,,百人一首,,,-,1927年,
外山 咲子,とやま さきこ,,,,百人一首,,,-,不明,
松浦 もしほ,まつうら もしほ,,,,百人一首,,,-,不明,
三室 錦子,みむろ きんこ,,,,百人一首,,,-,1917年,
三好 小夜子,みよし さよこ,9月23日,大阪府,,百人一首,,男役,-,1920年,
八十島 揖子,やそしま かじこ,,,,百人一首,,,-,1917年,妹は雲井浪子・緒島なほ子
由良 道子,ゆら みちこ,10月14日,大阪府,,百人一首,,男役,-,1918年,在団中に逝去
若菜 君子,わかな きみこ,,,,百人一首,,,-,不明,
