芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
芽吹 幸奈,めぶき ゆきな,6月30日,東京都世田谷区,国立音楽大学附属高校,163㎝,ゆきな、くま,娘役,花組,2019年,
愛原 実花,あいはら みか,12月14日,東京都北区,日本女子大学附属高校,164㎝,みな、みか,娘役,雪組,2010年,
響 れおな,ひびき れおな,10月23日,愛知県一宮市,愛知淑徳高校,170㎝,れおな,男役,月組,2019年,
香綾 しずる,かりょう しずる,11月15日,山口県周南市,県立徳山高校,170㎝,がおり,男役,雪組,2017年,
花音 舞,かのん まい,10月1日,愛媛県新居浜市,市立泉川中学,160㎝,ちぃ助、かのん,娘役,宙組,2021年,
宇月 颯,うづき はやて,4月17日,埼玉県熊谷市,深谷第一高校,168㎝,とし、とっちゃん,男役,月組,2018年,
如月 蓮,きさらぎ れん,9月7日,神奈川県厚木市,県立厚木西高校,167㎝,れんた,男役,星組,2019年,
彩城 レア,あやしろ れあ,5月8日,東京都江東区,東洋英和女学院高等部,168㎝,ネコ,男役,花組,2014年,
蒼 乃夕妃,あおの ゆき,9月12日,岡山県岡山市,山陽女子高校,164㎝,まりも,娘役,星組→月組,2012年,
鳳樹 いち,ほうじゅ いち,12月9日,東京都新宿区,都立農芸高校,168㎝,いち,男役,宙組,2013年,
悠南 はやき,ゆうな はやき,10月25日,東京都武蔵野市,都立武蔵野北高校,172㎝,あす、ゆうなん,男役,花組,2007年,
玲実 くれあ,れみ くれあ,11月28日,沖縄県浦添市,県立那覇国際高校,163㎝,くれあ、れみれみ,娘役,月組,2019年,
夏鳳 しおり,かほう しおり,5月15日,東京都品川区,東京女学館中学,163㎝,しおり,娘役,月組,2009年,
白妙 なつ,しろたえ なつ,7月3日,愛知県小牧市,愛知淑徳高校,162㎝,西子,娘役,星組,,
南風 里名,みなかぜ りな,10月16日,東京都中野区,嘉悦女子高校,160㎝,りー,娘役,星組,2012年,
琴羽 桜子,ことは さくらこ,8月1日,東京都品川区,日本音楽高校,161㎝,桜子、あき,娘役,宙組,2011年,
美影 凜,みかげ りん,11月30日,東京都港区,東京女学館高校,162㎝,みきてぃー,娘役,宙組,2011年,
冴月 瑠那,さえづき るな,1月25日,神奈川県葉山町,町立南郷中学,168㎝,るな,男役,花組,2021年,
